top50filename,top50ascii,freq
8,U+1F602,6.567
15,U+1F60D,6.423
134,U+2764,6.267
17,U+1F618,6.233
7,U+1F923,6.233
14,U+1F970,6.115
19,U+263A,5.786
83,U+1F62D,5.3
41,U+1F644,5.267
82,U+1F622,5.115
39,U+1F60F,5.1
32,U+1F914,5.1
6,U+1F605,5.1
75,U+1F633,5.067
128,U+1F495,5.036
48,U+1F924,5
46,U+1F614,5
72,U+1F62E,4.967
76,U+1F97A,4.964
260,U+1F926,4.933
1,U+1F600,4.9
70,U+1F641,4.833
25,U+1F61C,4.833
11,U+1F609,4.8
263,U+1F937,4.724
40,U+1F612,4.7
84,U+1F631,4.7
81,U+1F625,4.692
20,U+1F61A,4.633
12,U+1F60A,4.633
182,U+1F44F,4.607
162,U+1F44C,4.6
49,U+1F634,4.6
191,U+1F4AA,4.536
63,U+1F973,4.533
30,U+1F92D,4.5
78,U+1F627,4.467
21,U+1F619,4.462
45,U+1F60C,4.433
187,U+1F64F,4.367
4,U+1F601,4.367
10,U+1F643,4.357
87,U+1F61E,4.333
139,U+1F49C,4.3
29,U+1F917,4.25
88,U+1F613,4.233
1001,U+1F389,4.231
90,U+1F62B,4.231
165,U+270C,4.2
127,U+1F49E,4.2
